Codigo;Nome completo;Unidade;Periodicidade;Inicio_dd/MM/aaaa;Ultimo_Valor;Desativada;Fonte;Especial
137;Fundo mútuo de renda fixa - Aplicações em quotas de fundos;u.m.c. (mil);M;31/05/1993;01/11/1995;S;Sisbacen PESP300;N
138;Fundo mútuo de renda fixa - Aplicações em operações compromissadas;u.m.c. (mil);M;31/05/1993;01/11/1995;S;Sisbacen PESP300;N
139;Fundo mútuo de renda fixa - Outras aplicações;u.m.c. (mil);M;31/05/1993;01/11/1995;S;Sisbacen PESP300;N
140;Fundo de ações-tradicional - Aplicações em títulos do Tesouro Nacional;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
141;Fundo de ações-tradicional - Aplicações em títulos do Banco Central;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
142;Fundo de ações-tradicional - Aplicações em títulos estaduais e municipais;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
143;Fundo de ações-tradicional - Aplicações em índices de ações;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
144;Fundo de ações-tradicional - Aplicações em ações;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
145;Fundo de ações-tradicional - Aplicações em debêntures;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
146;Fundo de ações-tradicional - Aplicações em títulos privados;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
147;Fundo de ações-tradicional - Aplicações em quotas de fundos;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
148;Fundo de ações-tradicional - Outras aplicações;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
149;Fundo de ações-carteira livre - Aplicações em títulos do Tesouro Nacional;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
150;Fundo de ações-carteira livre - Aplicações em títulos do Banco Central;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
151;Fundo de ações-carteira livre - Aplicações em títulos estaduais e municipais;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
152;Fundo de ações-carteira livre - Aplicações em índices de ações;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
153;Fundo de ações-carteira livre - Aplicações em ações;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
154;Fundo de ações-carteira livre - Aplicações em debêntures;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
155;Fundo de ações-carteira livre - Aplicações em títulos privados;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
156;Fundo de ações-carteira livre - Aplicações em quotas de fundos;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
157;Fundo de ações-carteira livre - Outras aplicações;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
158;Fundo de investimento-capital estrangeiro - Aplicações em títulos do Tesouro Nacional;u.m.c. (mil);M;31/05/1993;01/09/2000;S;Sisbacen PESP300;N
159;Fundo de investimento-capital estrangeiro - Aplicações em títulos do Banco Central;u.m.c. (mil);M;31/05/1993;01/09/2000;S;Sisbacen PESP300;N
160;Fundo de investimento-capital estrangeiro - Aplicações em títulos estaduais e municipais;u.m.c. (mil);M;31/05/1993;01/09/2000;S;Sisbacen PESP300;N
161;Fundo de investimento-capital estrangeiro - Aplicações em índices de ações;u.m.c. (mil);M;31/05/1993;01/09/2000;S;Sisbacen PESP300;N
162;Fundo de investimento-capital estrangeiro - Aplicações em ações;u.m.c. (mil);M;31/05/1993;01/09/2000;S;Sisbacen PESP300;N
163;Fundo de investimento-capital estrangeiro - Aplicações em debêntures;u.m.c. (mil);M;31/05/1993;01/09/2000;S;Sisbacen PESP300;N
164;Fundo de investimento-capital estrangeiro - Aplicações em títulos privados;u.m.c. (mil);M;31/05/1993;01/09/2000;S;Sisbacen PESP300;N
165;Fundo de investimento-capital estrangeiro - Aplicações em quotas de fundos;u.m.c. (mil);M;31/05/1993;01/09/2000;S;Sisbacen PESP300;N
166;Fundo de investimento-capital estrangeiro - Outras aplicações;u.m.c. (mil);M;31/05/1993;01/09/2000;S;Sisbacen PESP300;N
167;Fundo de conversão-capital estrangeiro - Aplicações em títulos do Tesouro Nacional;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
168;Fundo de conversão-capital estrangeiro - Aplicações em títulos do Banco Central;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
169;Fundo de conversão-capital estrangeiro - Aplicações em títulos estaduais e municipais;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
170;Fundo de conversão-capital estrangeiro - Aplicações em índices de ações;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
171;Fundo de conversão-capital estrangeiro - Aplicações em ações;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
172;Fundo de conversão-capital estrangeiro - Aplicações em debêntures;u.m.c. (mil);M;31/05/1993;01/08/2000;S;Sisbacen PESP300;N
